0.3	1	10	-2.69278
0.3	2	10	-2.13833
0.3	1	12	-3.11404
0.3	2	12	-2.73723
0.3	1	14	-3.53495
0.3	2	14	-3.348
0.4	1	10	-2.69363
0.4	2	10	-2.28211
0.4	1	12	-3.1077
0.4	2	12	-2.88802
0.4	1	14	-3.55123
0.4	2	14	-3.4838
0.5	1	10	-2.71318
0.5	2	10	-2.33515
0.5	1	12	-3.10075
0.5	2	12	-2.95158
0.5	1	14	-3.53346
0.5	2	14	-3.54297
0.6	1	10	-2.73747
0.6	2	10	-2.30544
0.6	1	12	-3.21087
0.6	2	12	-2.96658
0.6	1	14	-3.56026
0.6	2	14	-3.59947
0.7	1	10	-2.78167
0.7	2	10	-2.03982
0.7	1	12	-3.18326
0.7	2	12	-2.76702
0.7	1	14	-3.68449
0.7	2	14	-3.48472
0.3	1	6	-1.55827
0.3	2	6	-1.02172
0.3	1	8	-2.24242
0.3	2	8	-1.56651
0.3	1	18	-4.44662
0.3	2	18	-4.56819
0.3	1	20	-4.91366
0.3	2	20	-5.13752
0.3	1	22	-5.36847
0.3	2	22	-5.6291
0.4	1	6	-1.63425
0.4	2	6	-1.09528
0.4	1	8	-2.25891
0.4	2	8	-1.68503
0.4	1	18	-4.45101
0.4	2	18	-4.62167
0.4	1	20	-4.89046
0.4	2	20	-5.15387
0.4	1	22	-5.36882
0.4	2	22	-5.6399
0.5	1	6	-1.68556
0.5	2	6	-1.08205
0.5	1	8	-2.26638
0.5	2	8	-1.71348
0.5	1	18	-4.4662
0.5	2	18	-4.68587
